ID Value,ID Type,Marketplace ID,Is FBA?,Currency Code,Listing Price,Shipping Price
B07FYNQKXL,ASIN,ATVPDKIKX0DER,TRUE,USD,149.99,0
B00B2WMNQO,ASIN,ATVPDKIKX0DER,TRUE,USD,149.99,0
B07BSR399V,ASIN,ATVPDKIKX0DER,TRUE,USD,129.99,0
B07BSTPWQK,ASIN,ATVPDKIKX0DER,TRUE,USD,129.99,0
B07FYR2QXP,ASIN,ATVPDKIKX0DER,TRUE,USD,129.99,0
B00B2VJECG,ASIN,ATVPDKIKX0DER,TRUE,USD,129.99,0
B013VO894U,ASIN,ATVPDKIKX0DER,TRUE,USD,129.99,0
B013VO8KU8,ASIN,ATVPDKIKX0DER,TRUE,USD,129.99,0
B07FYWY9DP,ASIN,ATVPDKIKX0DER,TRUE,USD,129.99,0
B00B2VJHZ0,ASIN,ATVPDKIKX0DER,TRUE,USD,129.99,0
B013VO82HO,ASIN,ATVPDKIKX0DER,TRUE,USD,129.99,0
B013VO8CTC,ASIN,ATVPDKIKX0DER,TRUE,USD,129.99,0
B07FYHTCFY,ASIN,ATVPDKIKX0DER,TRUE,USD,129.99,0
B00B2VJKBQ,ASIN,ATVPDKIKX0DER,TRUE,USD,129.99,0
B013VO92ZA,ASIN,ATVPDKIKX0DER,TRUE,USD,149.99,0
B013VO85LC,ASIN,ATVPDKIKX0DER,TRUE,USD,149.99,0
B07FYHP8Y8,ASIN,ATVPDKIKX0DER,TRUE,USD,149.99,0
B00B2WMOA4,ASIN,ATVPDKIKX0DER,TRUE,USD,149.99,0
B00B2VJGOC,ASIN,ATVPDKIKX0DER,TRUE,USD,109.99,0
B09XFBQNSM,ASIN,ATVPDKIKX0DER,TRUE,USD,109.99,0
B09XFC5XWV,ASIN,ATVPDKIKX0DER,TRUE,USD,109.99,0
B00B2VJJBC,ASIN,ATVPDKIKX0DER,TRUE,USD,109,0
B09XF9QFFL,ASIN,ATVPDKIKX0DER,TRUE,USD,109.98,0
B09XFGPWT2,ASIN,ATVPDKIKX0DER,TRUE,USD,109.99,0
B07FYNQKX9,ASIN,ATVPDKIKX0DER,TRUE,USD,379.99,0
B07FYHRZJJ,ASIN,ATVPDKIKX0DER,TRUE,USD,379.99,0
B07FYFT155,ASIN,ATVPDKIKX0DER,TRUE,USD,379.99,0
B07FYR1763,ASIN,ATVPDKIKX0DER,TRUE,USD,379.99,0
B07FYRDFYT,ASIN,ATVPDKIKX0DER,TRUE,USD,379.99,0
B07FYS5385,ASIN,ATVPDKIKX0DER,TRUE,USD,379.99,0
B07FY948WG,ASIN,ATVPDKIKX0DER,TRUE,USD,329.99,0
B07FYHBWK8,ASIN,ATVPDKIKX0DER,TRUE,USD,329.99,0
B07FY6RZ9M,ASIN,ATVPDKIKX0DER,TRUE,USD,329.99,0
B07FYFW8Y3,ASIN,ATVPDKIKX0DER,TRUE,USD,329.99,0
B07FYHTDFQ,ASIN,ATVPDKIKX0DER,TRUE,USD,329.99,0
B07FYSQ38L,ASIN,ATVPDKIKX0DER,TRUE,USD,329.99,0
B07FYHTCFM,ASIN,ATVPDKIKX0DER,TRUE,USD,379.99,0
B07FYHP8Y2,ASIN,ATVPDKIKX0DER,TRUE,USD,379.99,0
B07FYFV43X,ASIN,ATVPDKIKX0DER,TRUE,USD,379.99,0
B08D7XSP2V,ASIN,ATVPDKIKX0DER,TRUE,USD,119.99,0
B08HSRM53J,ASIN,ATVPDKIKX0DER,TRUE,USD,119.99,0
B08B672CLV,ASIN,ATVPDKIKX0DER,TRUE,USD,119.99,0
B00B2VJQ0Q,ASIN,ATVPDKIKX0DER,TRUE,USD,119.99,0
B08B54RSJ7,ASIN,ATVPDKIKX0DER,TRUE,USD,119.99,0
B08KGY9JP7,ASIN,ATVPDKIKX0DER,TRUE,USD,119.99,0
B08LMC6LGT,ASIN,ATVPDKIKX0DER,TRUE,USD,119.99,0
B00B2VJS2W,ASIN,ATVPDKIKX0DER,TRUE,USD,119.99,0
B08B54YGGR,ASIN,ATVPDKIKX0DER,TRUE,USD,119.99,0
B08H4K6CDM,ASIN,ATVPDKIKX0DER,TRUE,USD,119,0
B08D7WMZMS,ASIN,ATVPDKIKX0DER,TRUE,USD,119.99,0
B00B2VJVFG,ASIN,ATVPDKIKX0DER,TRUE,USD,119.99,0
B00KX5A7NW,ASIN,ATVPDKIKX0DER,FALSE,USD,154.99,0
B01CSJ866K,ASIN,ATVPDKIKX0DER,FALSE,USD,184.99,0
B01KYXT4OU,ASIN,ATVPDKIKX0DER,FALSE,USD,34.95,0
B08B42PYGR,ASIN,ATVPDKIKX0DER,TRUE,USD,99.99,0
B08B44MMD5,ASIN,ATVPDKIKX0DER,TRUE,USD,99.99,0
B08B44314P,ASIN,ATVPDKIKX0DER,TRUE,USD,99.99,0
B08B463VRX,ASIN,ATVPDKIKX0DER,TRUE,USD,99.99,0
B08B43JVTS,ASIN,ATVPDKIKX0DER,TRUE,USD,99.99,0
B08B43PCH8,ASIN,ATVPDKIKX0DER,TRUE,USD,99.99,0
B08B45CQ8W,ASIN,ATVPDKIKX0DER,TRUE,USD,99.99,0
B08B43Z23K,ASIN,ATVPDKIKX0DER,TRUE,USD,99.99,0
B08B42VGD4,ASIN,ATVPDKIKX0DER,TRUE,USD,99.99,0
B08B45VVMX,ASIN,ATVPDKIKX0DER,TRUE,USD,99.99,0
B08B44MYZZ,ASIN,ATVPDKIKX0DER,TRUE,USD,99.99,0
B08B43DT46,ASIN,ATVPDKIKX0DER,TRUE,USD,99.99,0
B08B43LRJ4,ASIN,ATVPDKIKX0DER,TRUE,USD,99.99,0
B08B44K7Z1,ASIN,ATVPDKIKX0DER,TRUE,USD,99.99,0
B08B43PJ6F,ASIN,ATVPDKIKX0DER,TRUE,USD,99.99,0
B08B44HTYS,ASIN,ATVPDKIKX0DER,TRUE,USD,129.99,0
B08B448B2D,ASIN,ATVPDKIKX0DER,TRUE,USD,129.99,0
B08B42QM65,ASIN,ATVPDKIKX0DER,TRUE,USD,129.99,0
B08B4321QB,ASIN,ATVPDKIKX0DER,TRUE,USD,129.99,0
B08B44C6JS,ASIN,ATVPDKIKX0DER,TRUE,USD,129.99,0
B0B2K9Y7WH,ASIN,ATVPDKIKX0DER,TRUE,USD,99.99,0
B09XJ7MD6D,ASIN,ATVPDKIKX0DER,TRUE,USD,69.99,0
B09XJ8MQN6,ASIN,ATVPDKIKX0DER,TRUE,USD,69.99,0
B09XJ8YZD8,ASIN,ATVPDKIKX0DER,TRUE,USD,69.99,0
B09XJ8239C,ASIN,ATVPDKIKX0DER,TRUE,USD,69.99,0
B09XJ7ZGJD,ASIN,ATVPDKIKX0DER,TRUE,USD,69.99,0
B09XJ9BH14,ASIN,ATVPDKIKX0DER,TRUE,USD,69.99,0
B09XJ8TNVB,ASIN,ATVPDKIKX0DER,TRUE,USD,69.99,0
B09XJ84JZR,ASIN,ATVPDKIKX0DER,TRUE,USD,69.99,0
B0B8481H3K,ASIN,ATVPDKIKX0DER,TRUE,USD,69.99,0
B08WRNXXGR,ASIN,ATVPDKIKX0DER,FALSE,USD,189,0
B08WRQY2SL,ASIN,ATVPDKIKX0DER,FALSE,USD,199.93,0
B075QMFJ4Z,ASIN,ATVPDKIKX0DER,FALSE,USD,19.99,0
B075QNQ6G7,ASIN,ATVPDKIKX0DER,FALSE,USD,18.99,0
B075QN567J,ASIN,ATVPDKIKX0DER,FALSE,USD,19.99,0
B003RX6EAC,ASIN,ATVPDKIKX0DER,FALSE,USD,56.99,9.99
B008VGQQJY,ASIN,ATVPDKIKX0DER,FALSE,USD,25.99,9.99
B00SQ0FUOC,ASIN,ATVPDKIKX0DER,FALSE,USD,190,9.99
B07SHTT11Y,ASIN,ATVPDKIKX0DER,FALSE,USD,318,9.99
B01BW6AZ32,ASIN,ATVPDKIKX0DER,FALSE,USD,20.99,9.99
B07SHTT1M4,ASIN,ATVPDKIKX0DER,FALSE,USD,310,9.99
B08X6CPP7W,ASIN,ATVPDKIKX0DER,FALSE,USD,290,9.99
B004CG9RGQ,ASIN,ATVPDKIKX0DER,FALSE,USD,41.99,9.99
B01NA7H9AI,ASIN,ATVPDKIKX0DER,FALSE,USD,255,9.99
B0BYTNDWC3,ASIN,ATVPDKIKX0DER,FALSE,USD,2799,0
B01E0LPFIG,ASIN,ATVPDKIKX0DER,FALSE,USD,34.95,0
B01E0LPCPW,ASIN,ATVPDKIKX0DER,FALSE,USD,19.95,0
B077YXVK9J,ASIN,ATVPDKIKX0DER,FALSE,USD,19.95,0
B003Q7ULKI,ASIN,ATVPDKIKX0DER,FALSE,USD,30.99,0
B00JS1R302,ASIN,ATVPDKIKX0DER,FALSE,USD,42.99,0
B01CQBSTQC,ASIN,ATVPDKIKX0DER,FALSE,USD,36.95,0
B071K6TLPL,ASIN,ATVPDKIKX0DER,FALSE,USD,44.95,0
B01FZYE0MY,ASIN,ATVPDKIKX0DER,FALSE,USD,38.2,0
B01MRTIWNJ,ASIN,ATVPDKIKX0DER,FALSE,USD,34.95,0
B077YS927K,ASIN,ATVPDKIKX0DER,FALSE,USD,15.95,0
B0000AYCHZ,ASIN,ATVPDKIKX0DER,FALSE,USD,1349.95,0
B004U6NBVK,ASIN,ATVPDKIKX0DER,FALSE,USD,2199.95,0
B082WH6RYZ,ASIN,ATVPDKIKX0DER,FALSE,USD,36,0
B000OYGCIG,ASIN,ATVPDKIKX0DER,FALSE,USD,35,0
B082WHKHTC,ASIN,ATVPDKIKX0DER,FALSE,USD,36,0
B082WGZN2L,ASIN,ATVPDKIKX0DER,FALSE,USD,28,0
B082WG4YYD,ASIN,ATVPDKIKX0DER,FALSE,USD,29.99,0
B07J1Y2X35,ASIN,ATVPDKIKX0DER,FALSE,USD,169.99,0
B07J21H64T,ASIN,ATVPDKIKX0DER,FALSE,USD,169.99,0
B07J1ZG87X,ASIN,ATVPDKIKX0DER,FALSE,USD,169.99,0
