"ID Value","ID Type","Is FBA?","Listing Price","Listing Price Currency Code","Shipping Price","Shipping Price Currency Code","Total Fees","Total Fees Currency Code"
B09X29FMXS,ASIN,,99.94,USD,0,USD,14.99,USD
B09X27VSRH,ASIN,,109,USD,0,USD,16.35,USD
B09X29DCS4,ASIN,,109.95,USD,0,USD,16.49,USD
B0BLZNWGNT,ASIN,,99.94,USD,0,USD,14.99,USD
B0BLZMR78N,ASIN,,99.94,USD,0,USD,14.99,USD
B09X2CJZJQ,ASIN,,99.94,USD,0,USD,14.99,USD
B09X29S7LS,ASIN,,99.94,USD,0,USD,14.99,USD
B09X2B3TCK,ASIN,,99.94,USD,0,USD,14.99,USD
B013VO8MTC,ASIN,1,149.99,USD,0,USD,27.69,USD
B013VO8SRS,ASIN,1,149.99,USD,0,USD,27.17,USD
B07FYNQKXL,ASIN,1,149.99,USD,0,USD,27.25,USD
B00B2WMNQO,ASIN,1,149.99,USD,0,USD,27.6,USD
B07BSR399V,ASIN,1,129.99,USD,0,USD,23.82,USD
B07BSTPWQK,ASIN,1,129.99,USD,0,USD,23.82,USD
B07FYR2QXP,ASIN,1,129.99,USD,0,USD,23.82,USD
B00B2VJECG,ASIN,1,129.99,USD,0,USD,23.82,USD
B013VO894U,ASIN,1,129.99,USD,0,USD,23.82,USD
B013VO8KU8,ASIN,1,129.99,USD,0,USD,23.82,USD
B07FYWY9DP,ASIN,1,129.99,USD,0,USD,23.82,USD
B00B2VJHZ0,ASIN,1,129.99,USD,0,USD,25.07,USD
B013VO82HO,ASIN,1,129.99,USD,0,USD,23.82,USD
B013VO8CTC,ASIN,1,129.99,USD,0,USD,23.82,USD
B07FYHTCFY,ASIN,1,129.99,USD,0,USD,23.82,USD
B00B2VJKBQ,ASIN,1,129.99,USD,0,USD,23.82,USD
B013VO92ZA,ASIN,1,149.99,USD,0,USD,27.17,USD
B013VO85LC,ASIN,1,149.99,USD,0,USD,27.17,USD
B07FYHP8Y8,ASIN,1,149.99,USD,0,USD,27.25,USD
B00B2WMOA4,ASIN,1,149.99,USD,0,USD,27.25,USD
B00B2VJGOC,ASIN,1,109.99,USD,0,USD,21.69,USD
B09XFBQNSM,ASIN,1,109.99,USD,0,USD,20.82,USD
B09XFC5XWV,ASIN,1,109.99,USD,0,USD,20.82,USD
B00B2VJJBC,ASIN,1,109,USD,0,USD,20.67,USD
B09XF9QFFL,ASIN,1,109.98,USD,0,USD,21.25,USD
B09XFGPWT2,ASIN,1,109.99,USD,0,USD,20.82,USD
B07FYNQKX9,ASIN,1,379.99,USD,0,USD,62.19,USD
B07FYHRZJJ,ASIN,1,379.99,USD,0,USD,62.19,USD
B07FYFT155,ASIN,1,379.99,USD,0,USD,62.19,USD
B07FYR1763,ASIN,1,379.99,USD,0,USD,62.19,USD
B07FYRDFYT,ASIN,1,379.99,USD,0,USD,62.19,USD
B07FYS5385,ASIN,1,379.99,USD,0,USD,62.19,USD
B07FY948WG,ASIN,1,329.99,USD,0,USD,53.82,USD
B07FYHBWK8,ASIN,1,329.99,USD,0,USD,53.82,USD
B07FY6RZ9M,ASIN,1,329.99,USD,0,USD,53.82,USD
B07FYFW8Y3,ASIN,1,329.99,USD,0,USD,54.25,USD
B07FYHTDFQ,ASIN,1,329.99,USD,0,USD,54.25,USD
B07FYSQ38L,ASIN,1,329.99,USD,0,USD,54.25,USD
B07FYHTCFM,ASIN,1,379.99,USD,0,USD,61.75,USD
B07FYHP8Y2,ASIN,1,379.99,USD,0,USD,61.75,USD
B07FYFV43X,ASIN,1,379.99,USD,0,USD,61.75,USD
B08D7XSP2V,ASIN,1,119.99,USD,0,USD,22.08,USD
B08HSRM53J,ASIN,1,119.99,USD,0,USD,22.32,USD
B08B672CLV,ASIN,1,119.99,USD,0,USD,22.32,USD
B00B2VJQ0Q,ASIN,1,119.99,USD,0,USD,24,USD
