(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0B25TW9LC,B0B25TW9LC,"Black Hall Outfitters Replacement Parts Kit Compatible with Old Town Sportsman 106 PDL Kayak, Old Town Sportsman 120 PDL Kayak, Old Town Sportsman Salty PDL Kayak",210000033919-FBA,546,12,0.18%,0.22%,726,18,0.18%,0.23%,98.48%,72.22%,16,0,2.93%,0.00%,"$1,514.84",$0.00,14,0
B07PYCV1VH,B07BRYQ52B,"Old Town Canoes & Kayaks Lure Angler Men's Life Jacket (Gray, XXL/XXXL)",01.1332.9002,537,3,0.18%,0.05%,734,7,0.18%,0.09%,92.88%,100.00%,13,1,2.42%,33.33%,"$1,873.93",$138.54,13,1
B0B25RLDDV,B0B25RLDDV,Black Hall Outfitters Replacement Parts Kit Compatible with Old Town Sportsman 106 Powered by Minn Kota Kayak,210000033921-FBA,256,4,0.09%,0.07%,374,4,0.09%,0.05%,96.52%,100.00%,13,0,5.08%,0.00%,"$1,039.87",$0.00,13,0
B084L4X7BK,B07X58Z9DX,"Nomad Design Madmacs Offshore High Speed Fishing Lure, Trolling Minnow, with Super Strong BKK Hooks and Heavy Duty Split Rings, Autotune System, 200mm/8 Sinking - Black Pink Mackerel",MADMACS200-BPM,724,18,0.24%,0.33%,865,25,0.21%,0.32%,37.32%,10.53%,13,1,1.80%,5.56%,$577.50,$44.66,12,1
B084LM6MRV,B084KV6QBD,"Carlisle Magic Angler Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 250cm - First Light",01.2509.4076,487,5,0.16%,0.09%,655,6,0.16%,0.08%,93.13%,100.00%,12,0,2.46%,0.00%,"$1,336.54",$0.00,12,0
B084L4X7BK,B084L5CB55,"Nomad Design Madmacs Offshore High Speed Fishing Lure, Trolling Minnow, with Super Strong BKK Hooks and Heavy Duty Split Rings, Autotune System, 200mm/8 Sinking - Orange Mackerel",MADMACS200-OM,422,11,0.14%,0.20%,486,12,0.12%,0.16%,52.23%,57.14%,13,0,3.08%,0.00%,$594.48,$0.00,12,0
B001449DRM,B001449DRM,"Van Staal 7"" Titanium Pliers Kit with Lanyard and Sheath",FP7000-KIT-FBA,"1,624",37,0.55%,0.67%,"2,054",42,0.50%,0.54%,30.53%,50.00%,11,0,0.68%,0.00%,"$4,169.00",$0.00,11,0
B01FWSKCPW,B01FWSKCPW,"Yak Attack Gen II GearTrac, 12"", GT175, Silver - GT175G2-12",GT175G2-12-U,868,13,0.29%,0.24%,"1,290",24,0.31%,0.31%,0.00%,0.00%,16,0,1.84%,0.00%,$304.00,$0.00,11,0
B084LM6MRV,B084KQFSYL,"Carlisle Paddles Magic Angler Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 240cm - Photic",01.2509.4079,516,9,0.17%,0.16%,664,11,0.16%,0.14%,93.42%,87.50%,11,0,2.13%,0.00%,"$1,171.36",$0.00,11,0
B085118DMP,B085118DMP,Hobie Turbo Fin Kit - Kick Up 72067032,72067032,243,8,0.08%,0.14%,344,8,0.08%,0.10%,84.01%,87.50%,12,0,4.94%,0.00%,"$2,784.00",$0.00,11,0
